City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
344,Vibo Valentia,IT,75.2,overcast clouds,38.7,16.13,Hotel Barbieri
345,San Patricio,MX,86.0,few clouds,19.22,-104.7,Hotel Cabo Blanco
346,Ambilobe,MG,72.64,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
351,Villazon,BO,69.55,overcast clouds,-22.09,-65.59,La Candelaria
352,Kirkuk,IQ,76.86,clear sky,35.47,44.39,فندق التأميم
354,Pontes E Lacerda,BR,82.42,overcast clouds,-15.23,-59.34,Hotel Bressan
356,Lompoc,US,93.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
357,Tiarei,PF,80.6,few clouds,-17.53,-149.33,Le Rocher de Tahiti
359,Luanda,AO,75.2,scattered clouds,-8.84,13.23,EPIC SANA Luanda
361,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
362,Gidam,IN,71.65,overcast clouds,18.98,81.4,Dhanshree Lodge And DormItory
364,Curuca,BR,82.83,light rain,-0.73,-47.85,Hotel Curuça
369,Idenao,CM,78.8,light intensity drizzle,4.25,9.0,Moland Beach Resort
373,Tura,IN,74.98,moderate rain,25.52,90.22,Hotel RIKMAN Continental
374,Coahuayana,MX,82.4,clear sky,18.73,-103.68,Hotel Los Arcos
375,Buraydah,SA,89.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
379,Liberal,US,73.4,clear sky,37.04,-100.92,Hampton Inn & Suites Liberal
386,Kloulklubed,PW,75.2,overcast clouds,7.04,134.26,Storyboard Beach Resort
391,Miandrivazo,MG,77.0,broken clouds,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
395,Banepa,NP,69.8,broken clouds,27.63,85.52,Dhulikhel Lodge Resort
397,Abilene,US,75.99,clear sky,32.45,-99.73,La Quinta Inn by Wyndham Abilene
398,Castelvetro Di Modena,IT,69.01,overcast clouds,44.51,10.95,Hotel Arthur
401,Camocim,BR,86.81,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
405,Ko Samui,TH,82.33,moderate rain,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
407,Turayf,SA,82.4,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
410,San Juan,AR,69.35,clear sky,-31.54,-68.54,Hotel Provincial
411,Galle,LK,79.99,overcast clouds,6.04,80.22,Amangalla
413,Casas Grandes,MX,86.0,clear sky,30.37,-107.95,PUEBLO DEL SOuL
416,Alugan,PH,78.37,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
417,Kirakira,SB,76.82,scattered clouds,-10.45,161.92,SanBiz Lodge
418,Nantucket,US,69.8,overcast clouds,41.28,-70.1,Jared Coffin House
419,Wajima,JP,69.71,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
422,Buala,SB,78.55,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
424,Port Hedland,AU,73.4,light rain,-20.32,118.57,The Esplanade Hotel
425,Auki,SB,74.01,overcast clouds,-8.77,160.7,Auki Motel
430,Erenas,PH,82.06,few clouds,12.42,124.32,ASA microfinance
432,San Pedro,PH,79.0,light rain,14.35,121.02,OYO 412 Viewfort Venue
433,Itaituba,BR,98.71,overcast clouds,-4.28,-55.98,Hotel Campos
434,Boquira,BR,97.36,clear sky,-12.82,-42.73,Restaurante e Pousada Boquira
435,Cape Canaveral,US,81.0,few clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
436,Sinnamary,GF,83.62,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
437,Sao Joao Da Barra,BR,89.6,clear sky,-21.64,-41.05,Pousada Porto De Canoas
438,Vallenar,CL,77.56,scattered clouds,-28.57,-70.76,Humacao Bed & Breakfast
441,Kandrian,PG,74.17,broken clouds,-6.22,149.55,Kandrian Station
450,Sola,VU,79.36,few clouds,-13.88,167.55,Leumerus Bungalows
451,Biltine,TD,89.11,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
455,Maceio,BR,82.4,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
458,Tapah,MY,75.2,heavy intensity rain,4.2,101.26,Shahrini Homestay
460,Diamantino,BR,95.04,overcast clouds,-14.41,-56.45,Hotel Delta
464,Yulara,AU,75.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
465,Nieuw Amsterdam,SR,89.6,scattered clouds,5.88,-55.08,Hotel Stardust
467,Bima,ID,75.4,overcast clouds,-8.47,118.72,Lambitu Hotel
468,Acapulco,MX,86.0,few clouds,16.86,-99.89,HS Hotsson Smart Acapulco
471,Gigmoto,PH,80.17,broken clouds,13.78,124.39,Cj's Travellers Inn
474,Gizo,SB,81.19,light rain,-8.1,156.84,Imagination Island
477,Daru,PG,77.36,light rain,-9.08,143.21,New century hotel
481,Ilhabela,BR,90.48,clear sky,-23.78,-45.36,Ilha Flat Hotel
484,Laguna,US,84.99,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
487,Padang,ID,75.69,moderate rain,-0.95,100.35,Mercure Padang
488,Codrington,AU,69.73,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
492,Buchanan,LR,80.6,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
495,Sao Fidelis,BR,89.6,clear sky,-21.65,-41.75,Hotel São José
496,Pringsewu,ID,74.71,overcast clouds,-5.36,104.97,Urban Style by Front One
498,Syracuse,IT,77.0,scattered clouds,37.09,15.28,Hotel Posta
499,Grand-Lahou,CI,75.92,overcast clouds,5.14,-5.02,Hotel Beatitude de Grand Lahou
501,Tahoua,NE,89.6,light rain,14.89,5.27,Bungalows Guesthouse
502,Luganville,VU,75.2,broken clouds,-15.53,167.17,The Espiritu Hotel
503,Pachino,IT,77.0,clear sky,36.72,15.09,Il Veliero
504,Erzin,TR,75.99,clear sky,36.96,36.2,Artemis Otel
505,Mpika,ZM,70.63,clear sky,-11.83,31.45,Melodies Lodge
506,Hobyo,SO,77.94,broken clouds,5.35,48.53,Osmani Hotel
507,Miri,MY,77.0,light rain,4.41,114.01,"Mega Hotel, Miri"
508,Tariba,VE,95.0,scattered clouds,7.82,-72.22,Hotel Las Lomas
509,Sabang,ID,82.44,moderate rain,5.89,95.32,Hotel Citra
511,Grand Gaube,MU,71.01,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
512,Mayskiy,RU,69.8,light intensity shower rain,47.69,40.1,Dio Lakrua
