City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Yara,20.28,-76.95,89.92,61,98,4.36,CU,2020-10-01 19:20:07
138,Lake Havasu City,34.48,-114.32,98.6,5,1,11.41,US,2020-10-01 19:20:07
139,Camacha,33.08,-16.33,71.6,68,40,10.29,PT,2020-10-01 19:20:07
140,Alofi,-19.06,-169.92,75.2,100,52,3.36,NU,2020-10-01 19:20:07
141,Lyantonde,-0.4,31.16,67.23,80,22,2.73,UG,2020-10-01 19:20:08
142,Kruisfontein,-34.0,24.73,55.0,73,100,4.0,ZA,2020-10-01 19:20:08
143,Zhanaozen,43.3,52.8,57.6,36,0,14.9,KZ,2020-10-01 19:20:08
144,Noumea,-22.28,166.46,59.0,82,0,3.36,NC,2020-10-01 19:20:09
145,Ilulissat,69.22,-51.1,39.2,44,75,14.99,GL,2020-10-01 19:20:09
146,Hovd,48.01,91.64,31.69,80,97,7.63,MN,2020-10-01 19:20:09
147,Chibuto,-24.69,33.53,73.31,81,16,6.35,MZ,2020-10-01 19:20:09
148,Pacho,5.13,-74.16,66.2,45,75,8.05,CO,2020-10-01 19:20:10
149,Vardo,70.37,31.11,46.4,93,75,24.16,NO,2020-10-01 19:20:10
150,Sambava,-14.27,50.17,73.36,89,15,6.2,MG,2020-10-01 19:20:10
151,Sobolevo,54.43,31.9,51.42,60,78,10.69,RU,2020-10-01 19:20:10
152,Tacoronte,28.48,-16.41,68.0,82,75,19.46,ES,2020-10-01 19:18:40
153,Nacogdoches,31.6,-94.63,81.0,44,1,9.17,US,2020-10-01 19:19:05
154,Hithadhoo,-0.6,73.08,82.85,68,100,2.91,MV,2020-10-01 19:20:11
155,High Level,58.52,-117.14,46.4,75,40,6.93,CA,2020-10-01 19:20:11
156,Valga,57.78,26.05,53.01,81,0,4.7,EE,2020-10-01 19:20:11
157,Tiznit,29.58,-9.5,66.24,73,0,5.26,MA,2020-10-01 19:20:12
158,Maniwaki,46.38,-75.97,56.17,80,67,6.78,CA,2020-10-01 19:20:12
159,Beringovskiy,63.05,179.32,39.24,84,100,19.73,RU,2020-10-01 19:20:12
160,Verkhoyansk,67.54,133.38,28.85,93,93,3.87,RU,2020-10-01 19:20:12
161,Cidreira,-30.18,-50.21,71.17,82,44,13.49,BR,2020-10-01 19:20:13
162,Ayan,56.45,138.17,46.54,64,0,3.58,RU,2020-10-01 19:20:13
163,Joensuu,62.6,29.76,48.2,93,50,4.7,FI,2020-10-01 19:20:13
164,Saint Anthony,45.02,-93.22,53.01,50,90,14.99,US,2020-10-01 19:20:13
165,Mercedes,-34.65,-59.43,64.99,44,100,8.01,AR,2020-10-01 19:20:14
166,Barabai,-2.58,115.38,75.65,90,62,1.83,ID,2020-10-01 19:20:14
